TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
2023-09-08 17:58:01.451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/event/connected Muse-D424
2023-09-08 17:58:01.507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2023-09-08 17:58:01.539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2023-09-08 17:58:01.539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2023-09-08 17:58:01.691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2023-09-08 17:58:02.032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2023-09-08 17:58:02.121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2023-09-08 17:58:02.209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2023-09-08 17:58:02.460,0.4836511828234638,1.086654123646194,0.9930425947020723,1.093415036073542,0.08258815303346809,0.8687520367540071,0.002150090153522008,0.8710913499214811,0.6986906973353948,0.4902991015968979,-0.1073687576621466,1.005311238535754,0.7517492458919171,0.2472884116557496,0.1299283957735073,0.6883452047766865,0.1318350737921823,-0.07685043354271154,-0.4732649993236153,-0.06421030145857898,817.5457875457876,904.1758241758242,844.5421245421246,838.0952380952381,763.956043956044,-0.513794,0.056763,0.837769,-4.276733,-18.086395,13.622742,1,2,4,1,2,35.000000
2023-09-08 17:58:03.437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2023-09-08 17:58:03.451,0.4836511828234638,1.086654123646194,0.9930425947020723,1.093415036073542,0.08258815303346809,0.8687520367540071,0.002150090153522008,0.8710913499214811,0.6986906973353948,0.4902991015968979,-0.1073687576621466,1.005311238535754,0.7517492458919171,0.2472884116557496,0.1299283957735073,0.6883452047766865,0.1318350737921823,-0.07685043354271154,-0.4732649993236153,-0.06421030145857898,1033.516483516484,814.7252747252747,871.5384615384615,919.8901098901099,846.5567765567765,-0.196045,0.163696,0.924683,-0.007477,-52.330170,-9.749756,1,2,1,1,2,30.000000
2023-09-08 17:58:03.944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2023-09-08 17:58:04.462,0.4836511828234638,1.086654123646194,0.9930425947020723,1.093415036073542,0.08258815303346809,0.8687520367540071,0.002150090153522008,0.8710913499214811,0.6986906973353948,0.4902991015968979,-0.1073687576621466,1.005311238535754,0.7517492458919171,0.2472884116557496,0.1299283957735073,0.6883452047766865,0.1318350737921823,-0.07685043354271154,-0.4732649993236153,-0.06421030145857898,814.3223443223443,794.981684981685,776.8498168498169,722.8571428571429,649.5238095238095,0.052307,0.169006,1.004944,-0.299072,9.570312,-3.529053,1,2,1,1,2,30.000000
2023-09-08 17:58:04.740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2023-09-08 17:58:04.828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2023-09-08 17:58:05.068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2023-09-08 17:58:05.068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2023-09-08 17:58:05.243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2023-09-08 17:58:05.452,0.4836511828234638,1.086654123646194,0.9930425947020723,1.093415036073542,0.08258815303346809,0.8687520367540071,0.002150090153522008,0.8710913499214811,0.6986906973353948,0.4902991015968979,-0.1073687576621466,1.005311238535754,0.7517492458919171,0.2472884116557496,0.1299283957735073,0.6883452047766865,0.1318350737921823,-0.07685043354271154,-0.4732649993236153,-0.06421030145857898,1017.399267399267,906.5934065934066,817.948717948718,880.8058608058608,891.6849816849817,-0.687134,0.023010,0.717712,-2.130890,3.072968,1.450500,1,2,1,1,2,30.000000
2023-09-08 17:58:05.856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2023-09-08 17:58:06.452,0.4836511828234638,1.086654123646194,0.9930425947020723,1.093415036073542,0.08258815303346809,0.8687520367540071,0.002150090153522008,0.8710913499214811,0.6986906973353948,0.4902991015968979,-0.1073687576621466,1.005311238535754,0.7517492458919171,0.2472884116557496,0.1299283957735073,0.6883452047766865,0.1318350737921823,-0.07685043354271154,-0.4732649993236153,-0.06421030145857898,1212.417582417582,791.7582417582418,755.4945054945055,829.6336996336996,803.8461538461539,-0.597656,0.174438,0.766357,-1.472931,-9.420776,-6.759033,1,2,1,1,2,30.000000
2023-09-08 17:58:07.451,0.4836511828234638,1.086654123646194,0.9930425947020723,1.093415036073542,0.08258815303346809,0.8687520367540071,0.002150090153522008,0.8710913499214811,0.6986906973353948,0.4902991015968979,-0.1073687576621466,1.005311238535754,0.7517492458919171,0.2472884116557496,0.1299283957735073,0.6883452047766865,0.1318350737921823,-0.07685043354271154,-0.4732649993236153,-0.06421030145857898,1299.450549450549,794.981684981685,780.4761904761905,871.941391941392,935.6043956043957,-0.571289,0.123413,0.798889,0.583191,-2.549591,-1.764526,1,2,1,1,2,30.000000
2023-09-08 17:58:08.459,0.6042332913121559,0.5333372036884155,0.717644755057977,0.5953040391066233,0.6299759914348875,0.2461134114947114,0.008499512769354779,0.06085091080016856,0.6173237482273977,0.1993971988484112,0.1228927753886072,0.4127837752607112,0.9862930198704046,0.1655676576804995,0.06055358693259364,0.646734230730835,0.7902494046680855,-0.4770874272458572,-0.4953211128229911,0.234054404980424,1004.505494505495,812.3076923076924,775.2380952380953,823.1868131868132,768.3882783882784,-0.570862,0.120300,0.807068,1.390686,-4.673004,-1.697235,1,1,1,1,1,30.000000
2023-09-08 17:58:09.452,0.3765935691879118,0.7015733700324204,0.4409990460137396,0.3187455315997267,0.6349554888379458,0.3535167730755678,0.141135366152118,0.2305997253815575,0.5650234400420062,0.3449642167405493,0.1727264141260792,0.4580589378022918,0.9627304725663713,0.09223386830554471,0.04520131032383801,0.6434010921814303,0.7612718604372605,-0.4033256940675177,-0.7683339597538861,0.1415435455539551,1050.03663003663,1069.377289377289,793.3699633699634,836.0805860805862,770.8058608058608,-0.298950,0.080566,0.927246,5.233765,-37.167206,-44.479523,1,1,1,1,1,30.000000
2023-09-08 17:58:10.455,0.3765935691879118,0.9401493591844693,0.6006499409845177,0.7955094837375707,0.6349554888379458,0.5212947097344851,0.3420329722350316,0.2408309728436081,0.5650234400420062,0.205921480061796,0.08808621431997035,0.3557840716906039,0.9627304725663713,-0.0412596890065976,0.1730452238830061,0.7533859239081196,0.7612718604372605,-0.3053633071870574,-0.7153377922539936,0.2677886040025412,1005.714285714286,1564.578754578755,774.4322344322345,841.7216117216118,880,0.149780,0.101013,0.964844,10.116119,-11.790924,16.688232,1,1,1,1,1,30.000000
2023-09-08 17:58:10.912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2023-09-08 17:58:11.157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2023-09-08 17:58:11.451,0.3765935691879118,0.9401493591844693,0.6084812641229835,0.7955094837375707,0.6349554888379458,0.5212947097344851,0.3216723026999436,0.2408309728436081,0.5650234400420062,0.205921480061796,-0.2959484269413688,0.3557840716906039,0.9627304725663713,-0.0412596890065976,0.2241482696657515,0.7533859239081196,0.7612718604372605,-0.3053633071870574,-0.6598103761536148,0.2677886040025412,997.2527472527473,870.3296703296703,743.4065934065934,860.6593406593407,919.0842490842491,0.153687,0.261902,0.938171,1.629944,-2.340240,-4.575806,1,1,4,1,1,30.000000
2023-09-08 17:58:12.451,0.913146149825571,0.9401493591844693,0.6084812641229835,1.017195164094666,0.7168163821178446,0.5212947097344851,0.3216723026999436,0.7711249880195479,0.4797736303788814,0.205921480061796,-0.2959484269413688,0.8856141765756967,0.6446117497451244,-0.0412596890065976,0.2241482696657515,0.6232463117585471,0.3568711867811001,-0.3053633071870574,-0.6598103761536148,0.03414249912774706,1031.501831501831,805.4578754578755,738.974358974359,852.6007326007326,858.6446886446887,0.232788,0.222412,0.920593,1.121521,-7.088013,-10.168457,1,1,1,1,1,30.000000
2023-09-08 17:58:13.452,1.049307239985535,0.9401493591844693,0.6084812641229835,1.079550798616244,0.9198623544125537,0.5212947097344851,0.3216723026999436,0.8951986896290995,0.9398901259860686,0.205921480061796,-0.2959484269413688,0.6736015370333107,0.6598786727708488,-0.0412596890065976,0.2241482696657515,0.6298299509716693,0.3126527093563307,-0.3053633071870574,-0.6598103761536148,-0.01993277640302319,1006.520146520147,1111.684981684982,714.7985347985348,846.5567765567765,790.5494505494506,0.133301,0.144775,0.960388,-4.777679,-2.953339,-15.611572,1,1,1,1,1,30.000000
