TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
2023-08-25 15:46:41.301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/event/connected Muse-D424
2023-08-25 15:46:41.372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2023-08-25 15:46:42.303,1.007236126735164,0.8673434818571691,0.001146269834733715,1.170514006110599,1.279006970550949,0.5616830174079078,-0.2518013820692636,1.383462574076831,0.9418544179330542,0.03534173656600682,0.613628268468978,0.8982462642914009,1.003906724560297,0.8697872349767867,1.186023763634685,1.053239643152174,0.9174172561836865,0.6600837888850745,1.016925370855709,1.069267478142105,788.1318681318681,791.3553113553114,780.0732600732601,782.4908424908425,806.2637362637363,-0.269348,0.052673,0.933105,1.076660,-1.772003,2.975769,1,2,1,1,2,80.000000
2023-08-25 15:46:43.302,1.007236126735164,0.1241540064464523,0.001146269834733715,1.170514006110599,1.279006970550949,0.1742181528613736,-0.2518013820692636,1.383462574076831,0.9418544179330542,0.4003332257524352,0.613628268468978,0.8982462642914009,1.003906724560297,0.6411963394716886,1.186023763634685,1.053239643152174,0.9174172561836865,0.3959194633644378,1.016925370855709,1.069267478142105,730.9157509157509,751.0622710622711,790.952380952381,761.1355311355312,894.1025641025641,-0.230896,0.072815,0.963135,6.078644,44.053345,6.624451,1,2,1,1,2,80.000000
2023-08-25 15:46:43.339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2023-08-25 15:46:43.428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2023-08-25 15:46:43.517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2023-08-25 15:46:44.302,1.007236126735164,0.1670367078713754,0.001146269834733715,1.170514006110599,1.279006970550949,0.1335220816255548,-0.2518013820692636,1.383462574076831,0.9418544179330542,0.1763361609049754,0.613628268468978,0.8982462642914009,1.003906724560297,0.5604485737609883,1.186023763634685,1.053239643152174,0.9174172561836865,0.2829882919662892,1.016925370855709,1.069267478142105,837.2893772893773,815.5311355311355,807.0695970695971,809.8901098901099,761.5384615384615,-0.169922,0.046692,0.974854,-0.777588,-13.017120,-13.316193,1,2,1,1,2,80.000000
2023-08-25 15:46:44.637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2023-08-25 15:46:44.817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2023-08-25 15:46:45.302,1.007236126735164,0.1670367078713754,0.001146269834733715,1.170514006110599,1.279006970550949,0.1335220816255548,-0.2518013820692636,1.383462574076831,0.9418544179330542,0.1763361609049754,0.613628268468978,0.8982462642914009,1.003906724560297,0.5604485737609883,1.186023763634685,1.053239643152174,0.9174172561836865,0.2829882919662892,1.016925370855709,1.069267478142105,785.3113553113553,787.3260073260074,792.5641025641025,778.8644688644689,728.4981684981685,-0.220154,-0.004211,0.957642,1.966400,-7.259979,1.136475,1,2,1,1,2,80.000000
2023-08-25 15:46:46.302,1.007236126735164,1.165344673994117,0.001146269834733715,1.170514006110599,1.279006970550949,0.5613173525702588,-0.2518013820692636,1.383462574076831,0.9418544179330542,0.2930516015175883,0.613628268468978,0.8982462642914009,1.003906724560297,-0.009058706382243785,1.186023763634685,1.053239643152174,0.9174172561836865,0.05472959346908794,1.016925370855709,1.069267478142105,798.6080586080586,800.6227106227107,785.7142857142858,785.3113553113553,831.2454212454213,-0.195496,0.045654,0.980835,4.134674,-6.422577,0.949554,1,2,1,1,2,80.000000
