TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
2023-09-21 16:45:24.909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/event/connected Muse-D424
2023-09-21 16:45:24.963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2023-09-21 16:45:24.967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2023-09-21 16:45:24.974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2023-09-21 16:45:24.979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2023-09-21 16:45:24.987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2023-09-21 16:45:24.989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2023-09-21 16:45:24.994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2023-09-21 16:45:24.997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2023-09-21 16:45:25.259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2023-09-21 16:45:25.496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2023-09-21 16:45:25.583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2023-09-21 16:45:25.910,-4.173405673187665,1.043471169290878,1.004331436838597,1.734868813545842,-4.242668337754828,0.2967851816788638,0.580274863342366,1.672039176377129,-4.282374157795525,0.2934210904965955,0.4624573967567139,1.830232560348342,-3.771662897425183,0.3568189097273767,0.2867333083690638,1.508275577175668,-3.910765242505707,0.3290880647842381,0.2704442871314965,1.023736639868362,11.28205128205128,801.025641025641,799.0109890109891,1625.018315018315,859.4505494505495,-0.501282,0.070312,0.858398,8.015137,8.448792,-7.798309,1,4,1,1,4,55.000000
2023-09-21 16:45:26.507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2023-09-21 16:45:26.913,-4.173405673187665,1.051114384224655,1.080124270767082,1.734868813545842,-4.242668337754828,0.1849708658284681,0.8078430653275271,1.672039176377129,-4.282374157795525,0.194511513890428,0.4768384778767361,1.830232560348342,-3.771662897425183,0.3576156194859241,0.5542829879326967,1.508275577175668,-3.910765242505707,0.3358088115065845,0.5606830188929323,1.023736639868362,35.05494505494506,787.3260073260074,814.3223443223443,0,811.5018315018315,-0.659790,0.045959,0.756287,1.921539,-3.656158,3.252411,1,4,1,1,4,55.000000
2023-09-21 16:45:26.992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2023-09-21 16:45:27.323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2023-09-21 16:45:27.609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2023-09-21 16:45:27.786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2023-09-21 16:45:27.910,-4.173405673187665,0.7898634168209653,0.9535085796068121,1.734868813545842,-4.242668337754828,0.07226042671635648,0.2306193673930488,1.672039176377129,-4.282374157795525,0.5230956606867343,0.4689952464940323,1.830232560348342,-3.771662897425183,0.4941533315561955,0.5183333444232168,1.508275577175668,-3.910765242505707,0.5597566729746637,0.3722371097157738,1.023736639868362,1624.615384615385,777.2527472527473,790.952380952381,1625.018315018315,819.5604395604396,0.000732,0.044373,0.976624,-3.095398,-27.791290,15.484467,1,4,1,1,4,55.000000
2023-09-21 16:45:28.911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2023-09-21 16:45:28.912,-4.173405673187665,0.8445971910495951,0.8411230174138919,1.734868813545842,-4.242668337754828,-0.01052125750457149,0.2014152710009723,1.672039176377129,-4.282374157795525,0.5376414122033247,0.4659277856880438,1.830232560348342,-3.771662897425183,0.1664924488203613,0.2993757312727327,1.508275577175668,-3.910765242505707,-0.01950956564236466,0.08291936549104181,1.023736639868362,134.981684981685,788.1318681318681,795.7875457875458,1625.421245421245,911.4285714285714,0.016663,0.040100,0.977051,1.196289,-5.308533,-2.325287,1,4,1,1,4,55.000000
2023-09-21 16:45:29.434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2023-09-21 16:45:29.434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2023-09-21 16:45:29.611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2023-09-21 16:45:29.765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2023-09-21 16:45:29.910,-4.173405673187665,0.5761758231775027,0.3220999148089309,1.734868813545842,-4.242668337754828,-0.2178569557752324,0.171510118602373,1.672039176377129,-4.282374157795525,0.6363441819109072,0.6364193684741435,1.830232560348342,-3.771662897425183,0.2595213724975304,0.3308422827703453,1.508275577175668,-3.910765242505707,-0.1046124555084203,-0.007467999872064751,1.023736639868362,1625.421245421245,760.7326007326008,758.3150183150184,1625.421245421245,826.4102564102565,0.097900,0.059021,0.979492,3.469238,-6.579590,-2.437439,1,4,1,1,4,55.000000
2023-09-21 16:45:30.463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2023-09-21 16:45:30.914,-4.173405673187665,0.6146723589482661,0.5636630009861087,1.734868813545842,-4.242668337754828,-0.1055915846794602,0.2884011198501539,1.672039176377129,-4.282374157795525,0.3980810222204169,0.5808752540460336,1.830232560348342,-3.771662897425183,0.4074780745036493,0.3858754628874523,1.508275577175668,-3.910765242505707,0.1010051548866217,0.125925042508445,1.023736639868362,32.63736263736264,805.4578754578755,801.8315018315019,638.6446886446887,740.1831501831502,0.134094,0.053528,0.971313,1.772003,-4.418793,-0.515900,1,4,1,1,4,55.000000
2023-09-21 16:45:30.972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2023-09-21 16:45:31.365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2023-09-21 16:45:31.432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2023-09-21 16:45:31.910,-4.173405673187665,0.8245019046924691,0.7324092414212978,1.734868813545842,-4.242668337754828,-0.09421528547171408,0.2666425734453854,1.672039176377129,-4.282374157795525,0.2455630672315498,0.5325450810061598,1.830232560348342,-3.771662897425183,0.4414991309360392,0.3838663030753334,1.508275577175668,-3.910765242505707,0.1396200129959748,0.1974508066147131,1.023736639868362,29.81684981684982,809.8901098901099,819.5604395604396,6.043956043956044,846.5567765567765,0.139587,0.056396,0.968811,1.390686,-3.050537,-1.114044,1,4,1,1,4,55.000000
2023-09-21 16:45:32.799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2023-09-21 16:45:32.799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2023-09-21 16:45:32.918,-4.173405673187665,0.9749802630656174,0.8586071167978407,1.734868813545842,-4.242668337754828,-0.1699984460183505,0.2288559629271281,1.672039176377129,-4.282374157795525,0.2338781876220846,0.6830717536540127,1.830232560348342,-3.771662897425183,0.3337205176872438,0.4278480134839021,1.508275577175668,-3.910765242505707,0.1265684085024596,0.1881529749188261,1.023736639868362,1624.615384615385,765.1648351648352,772.8205128205128,237.3260073260073,776.0439560439561,0.143250,0.059570,0.975525,2.228088,-3.177643,-0.246735,1,4,1,1,4,55.000000
2023-09-21 16:45:33.192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2023-09-21 16:45:33.611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2023-09-21 16:45:33.700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2023-09-21 16:45:33.789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2023-09-21 16:45:33.878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2023-09-21 16:45:33.910,-4.173405673187665,0.9043523331516775,0.8433410496905622,1.734868813545842,-4.242668337754828,0.1616379251073384,0.1504612181086851,1.672039176377129,-4.282374157795525,0.3376751209459813,0.444270872022181,1.830232560348342,-3.771662897425183,0.4146992242910582,0.3102632291604804,1.508275577175668,-3.910765242505707,0.2170491899446551,0.2430616667702113,1.023736639868362,1500.512820512821,808.2783882783883,809.8901098901099,1403.809523809524,793.7728937728938,0.086365,0.336121,0.932861,2.564545,-24.015503,-59.507904,1,4,1,1,2,55.000000
2023-09-21 16:45:34.208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2023-09-21 16:45:34.493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2023-09-21 16:45:34.735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2023-09-21 16:45:34.910,-4.173405673187665,0.9043523331516775,0.8433410496905622,1.734868813545842,-4.242668337754828,0.1616379251073384,0.1504612181086851,1.672039176377129,-4.282374157795525,0.3376751209459813,0.444270872022181,1.830232560348342,-3.771662897425183,0.4146992242910582,0.3102632291604804,1.508275577175668,-3.910765242505707,0.2170491899446551,0.2430616667702113,1.023736639868362,633.0036630036631,821.5750915750916,815.1282051282052,1424.358974358974,784.9084249084249,0.065857,-0.061401,0.986267,4.403839,-4.276733,82.200012,1,4,1,1,4,55.000000
2023-09-21 16:45:34.912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2023-09-21 16:45:35.241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2023-09-21 16:45:35.616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2023-09-21 16:45:35.910,-4.173405673187665,0.9043523331516775,0.8433410496905622,1.734868813545842,-4.242668337754828,0.1616379251073384,0.1504612181086851,1.672039176377129,-4.282374157795525,0.3376751209459813,0.444270872022181,1.830232560348342,-3.771662897425183,0.4146992242910582,0.3102632291604804,1.508275577175668,-3.910765242505707,0.2170491899446551,0.2430616667702113,1.023736639868362,1620.18315018315,667.6556776556777,799.4139194139194,1370.769230769231,767.1794871794872,0.088989,-0.091858,0.986267,3.252411,-6.474915,1.562653,1,4,1,1,4,55.000000
2023-09-21 16:45:36.469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2023-09-21 16:45:36.733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2023-09-21 16:45:36.909,-4.173405673187665,0.9043523331516775,0.8433410496905622,1.734868813545842,-4.242668337754828,0.1616379251073384,0.1504612181086851,1.672039176377129,-4.282374157795525,0.3376751209459813,0.444270872022181,1.830232560348342,-3.771662897425183,0.4146992242910582,0.3102632291604804,1.508275577175668,-3.910765242505707,0.2170491899446551,0.2430616667702113,1.023736639868362,0,790.1465201465202,833.2600732600733,33.84615384615385,796.5934065934066,0.148071,0.129944,0.977356,-17.921906,8.097382,91.643219,1,4,1,1,4,50.000000
2023-09-21 16:45:37.062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2023-09-21 16:45:37.481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2023-09-21 16:45:37.682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2023-09-21 16:45:37.916,-4.173405673187665,0.9043523331516775,0.8433410496905622,1.734868813545842,-4.242668337754828,0.1616379251073384,0.1504612181086851,1.672039176377129,-4.282374157795525,0.3376751209459813,0.444270872022181,1.830232560348342,-3.771662897425183,0.4146992242910582,0.3102632291604804,1.508275577175668,-3.910765242505707,0.2170491899446551,0.2430616667702113,1.023736639868362,589.8901098901099,782.4908424908425,765.5677655677656,687.3992673992674,792.967032967033,0.107971,-0.026367,0.982422,3.544006,-4.314117,-0.493469,1,4,1,1,4,50.000000
2023-09-21 16:45:38.150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2023-09-21 16:45:38.396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2023-09-21 16:45:38.485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2023-09-21 16:45:38.684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2023-09-21 16:45:38.909,-4.173405673187665,0.9043523331516775,0.8433410496905622,1.734868813545842,-4.242668337754828,0.1616379251073384,0.1504612181086851,1.672039176377129,-4.282374157795525,0.3376751209459813,0.444270872022181,1.830232560348342,-3.771662897425183,0.4146992242910582,0.3102632291604804,1.508275577175668,-3.910765242505707,0.2170491899446551,0.2430616667702113,1.023736639868362,0,798.6080586080586,795.3846153846154,1022.234432234432,878.3882783882784,0.121887,-0.015320,0.983215,2.437439,-3.551483,-2.714081,1,4,1,1,4,50.000000
2023-09-21 16:45:39.172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2023-09-21 16:45:39.172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2023-09-21 16:45:39.910,-4.173405673187665,0.8281274775762696,0.6875942183353496,1.734868813545842,-4.242668337754828,-0.01639057057186218,0.0429964822295294,1.672039176377129,-4.282374157795525,0.381681255423811,0.2717326631086326,1.830232560348342,-3.771662897425183,0.3550320253112335,0.4454509259381243,1.508275577175668,-3.910765242505707,0.227123842828534,0.3768843372913961,1.023736639868362,1624.615384615385,824.3956043956044,811.0989010989011,1545.238095238095,858.6446886446887,0.095398,0.294922,0.973938,13.256378,-2.332764,-96.106873,1,4,1,1,4,50.000000
2023-09-21 16:45:40.212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2023-09-21 16:45:40.390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2023-09-21 16:45:40.479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2023-09-21 16:45:40.722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2023-09-21 16:45:40.812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2023-09-21 16:45:40.910,-4.173405673187665,1.084076312620891,0.735243948993032,1.734868813545842,-4.242668337754828,0.2215518913013864,0.09341799109083657,1.672039176377129,-4.282374157795525,0.4930666831414586,0.2569117063150897,1.830232560348342,-3.771662897425183,0.3370618058154772,0.4566598675703004,1.508275577175668,-3.910765242505707,0.1980411683331588,0.3854594389613193,1.023736639868362,1079.85347985348,812.7106227106227,805.8608058608058,0,684.1758241758242,-0.641174,0.120972,0.777527,-19.349976,19.895782,35.821381,1,4,1,1,4,50.000000
2023-09-21 16:45:41.616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2023-09-21 16:45:41.796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2023-09-21 16:45:41.909,-4.173405673187665,1.198479755345148,0.7748967475807441,1.734868813545842,-4.242668337754828,0.3825432110995089,0.300236684257851,1.672039176377129,-4.282374157795525,0.4815527680477039,0.7056438057752098,1.830232560348342,-3.771662897425183,0.2897735300235366,0.7977770796365279,1.508275577175668,-3.910765242505707,0.1192768623096277,0.6168041708201688,1.023736639868362,1205.164835164835,832.4542124542124,794.1758241758242,1619.78021978022,822.7838827838829,-0.646118,0.185059,0.732178,0.014954,-1.854248,10.422668,1,4,1,1,4,50.000000
2023-09-21 16:45:42.218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
