TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
2023-09-12 17:14:47.734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/event/connected Muse-D424
2023-09-12 17:14:48.746,1.118255493675628,0.8959319680424187,0.3811620640994605,1.066735493040756,0.6141371151505972,0.498636815995096,-0.2264528584403457,0.5016150170060414,0.4307928861307772,0.2388129937960855,0.2744895646086083,0.9137278269320733,1.173330694530681,1.151819685108487,0.696987036486921,0.8942464595982,0.5436385930406553,0.6169406179898371,0.3347694206829598,0.2770237772632324,747.4358974358975,811.0989010989011,794.5787545787546,789.7435897435897,478.2783882783883,-0.541199,0.046509,0.833496,0.553284,-3.200073,0.934601,1,2,1,1,2,90.000000
2023-09-12 17:14:49.735,0.9548199306152514,0.8959319680424187,0.514749945510268,0.1033993115125256,0.4707932284013392,0.498636815995096,0.0487076161848399,0.3706164324587888,0.663671942255343,0.2388129937960855,0.1118647746434239,0.5830870022250894,1.017556821730029,1.151819685108487,0.3511322706240437,0.5619651892021131,0.543689568170864,0.6169406179898371,0.2316275820574985,0.2917447082965294,850.989010989011,780.8791208791209,765.5677655677656,800.2197802197802,763.5531135531136,-0.553284,0.048767,0.823120,0.598145,-1.854248,0.044861,1,1,1,1,1,75.000000
2023-09-12 17:14:50.172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2023-09-12 17:14:50.737,0.6659588561185764,0.2225657301523712,0.6924938126901654,0.1752939810993547,0.5789950731043237,0.1238851291928011,0.1016812025573887,0.5231689464257375,0.6431695981127433,0.8474442334163114,0.06576390492478025,0.6694226519328154,0.6837640090674527,1.011156563968804,0.5469213532421155,0.5304370434309219,0.3844524437161871,0.8693111029440272,0.3633779448411464,0.3157337365314124,854.6153846153846,812.3076923076924,801.8315018315019,784.1025641025641,768.3882783882784,-0.584412,0.038757,0.802734,0.628052,-4.261780,0.844879,1,1,1,1,1,75.000000
2023-09-12 17:14:51.735,0.6506880548426294,0.2954787095048346,0.5926244167761849,0.5332501425256272,0.3864527722478095,0.008759181825004528,0.05513197473705892,0.5108826941162223,0.1415235799351983,0.845520355082956,0.05680955637551,0.4453023357419594,0.7665712883980046,1.028848529923766,0.4173888119619719,0.4857772652606351,0.4823953327421055,0.8736967984413567,0.2609448152369315,0.3540680199897374,787.3260073260074,783.2967032967033,770.4029304029305,781.2820512820513,700.2930402930403,-0.565369,0.050598,0.812134,3.095398,3.132782,-2.145844,1,1,1,1,1,75.000000
2023-09-12 17:14:52.735,0.6506880548426294,0.1338348552498917,0.4931559361521767,0.5332501425256272,0.3864527722478095,-0.6039711854004695,0.1292014104875818,0.5108826941162223,0.1415235799351983,0.2166634499506263,0.3284927217700188,0.4453023357419594,0.7665712883980046,0.9767337945968363,0.4002867474061375,0.4857772652606351,0.4823953327421055,0.7221500628687642,0.3207051269771583,0.3540680199897374,811.0989010989011,782.4908424908425,809.0842490842491,788.9377289377289,765.5677655677656,-0.559265,0.050476,0.813171,0.740204,-2.190704,-0.022430,1,1,1,1,1,75.000000
2023-09-12 17:14:53.735,0.8076794583758991,0.02966188471370823,0.3856886056261393,0.5332501425256272,0.836987859040951,-0.01174336705173897,0.1743657603331706,0.5108826941162223,1.149086184412941,0.393822202075476,0.2923757090444699,0.4453023357419594,0.6787613858476177,1.088353405955312,0.5190154455998439,0.4857772652606351,0.2053885620044989,0.8373733170975804,0.3506612657372158,0.3540680199897374,847.3626373626374,773.6263736263736,780.0732600732601,797.8021978021978,855.0183150183151,-0.556213,0.048828,0.816895,0.299072,-3.237457,0.171967,1,1,1,1,1,75.000000
2023-09-12 17:14:54.427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2023-09-12 17:14:54.580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2023-09-12 17:14:54.670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2023-09-12 17:14:54.737,0.9134940914487095,0.05148309031053318,0.6334265095063415,0.5332501425256272,0.9725943857828274,-0.1438506202434962,0.1681814553565796,0.5108826941162223,1.158638446184076,0.4414461935484572,0.3281640894051245,0.4453023357419594,0.8153542643973527,1.13787695031088,0.6202203101506719,0.4857772652606351,0.2438168115204373,0.799497883065496,0.3729297891282774,0.3540680199897374,778.4615384615385,757.9120879120879,796.996336996337,781.6849816849817,687.3992673992674,-0.645691,0.051514,0.753662,-0.583191,-5.876770,1.091614,1,1,1,1,1,75.000000
