TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
2023-08-28 20:22:16.639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/event/connected Muse-D424
2023-08-28 20:22:16.692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2023-08-28 20:22:16.698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2023-08-28 20:22:16.701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2023-08-28 20:22:16.704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2023-08-28 20:22:16.710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2023-08-28 20:22:17.640,0.7305453766355361,-0.003212370822874075,0.178128558020406,0.791704257373283,0.6670473001760601,0.1277948052399533,0.2489607318695597,0.3008221891695666,0.6138475460375246,0.5385143064273158,0.6113671924158156,0.7363410742599937,1.205725188251808,1.736225241414374,1.435578156499785,1.440720313965705,0.9611713983112227,1.384819564310978,1.277274728902756,0.9359727122286252,909.0109890109891,818.3516483516484,799.0109890109891,747.032967032967,927.948717948718,-0.732971,0.130737,0.640320,2.751465,-5.473022,-6.729126,1,4,1,1,2,45.000000
2023-08-28 20:22:17.708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2023-08-28 20:22:17.891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2023-08-28 20:22:18.320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2023-08-28 20:22:18.432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2023-08-28 20:22:18.505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2023-08-28 20:22:18.649,0.7305453766355361,-0.003212370822874075,0.178128558020406,0.791704257373283,0.6670473001760601,0.1277948052399533,0.2489607318695597,0.3008221891695666,0.6138475460375246,0.5385143064273158,0.6113671924158156,0.7363410742599937,1.205725188251808,1.736225241414374,1.435578156499785,1.440720313965705,0.9611713983112227,1.384819564310978,1.277274728902756,0.9359727122286252,280.8424908424909,786.9230769230769,767.985347985348,629.7802197802198,773.6263736263736,-0.730286,0.141174,0.660583,1.988831,-4.089813,-0.216827,1,4,1,1,2,45.000000
2023-08-28 20:22:19.116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
